,all stations
403,-2.73663107864e-05
404,-3.25173878779e-07
405,1.39505062991e-06
406,-3.06634912034e-07
407,1.91928451658e-07
408,2.63710138899e-06
409,8.87315147705e-06
410,0.000135775621857
411,2.06140395934e-05
412,1.87313009754e-07
413,5.1036627857e-08
414,2.31783953356e-07
415,-3.82761860848e-07
416,1.28328000778e-05
417,4.43649768044e-06
418,1.0171312017e-05
419,2.76331832796e-06
420,5.14908526453e-06
421,1.40925369473e-06
422,1.71692262976e-06
423,4.86630220621e-06
424,1.04914970906e-05
425,2.90945540481e-07
426,5.74834670285e-08
427,9.50644550926e-10
428,-2.22207914096e-08
429,6.05458624517e-06
430,2.29855344585e-06
431,1.23508982897e-07
432,9.2267227173e-07
433,1.24433762777e-06
434,2.35131064353e-07
435,1.30258244496e-06
436,6.23857753347e-09
437,-2.9265920318e-06
438,-1.6265328389e-06
439,-2.83431270621e-07
440,1.22009791007e-07
441,4.34946150502e-07
442,2.19582982717e-06
443,9.9234767158e-07
444,2.19514962737e-07
445,2.91421578995e-08
446,2.1776154874e-07
447,2.16454506557e-06
448,2.59735092101e-06
449,-1.80715895436e-06
450,8.60930872502e-07
451,6.75506825486e-07
452,2.46285461361e-05
453,-6.34035150548e-07
454,2.96026121266e-07
455,1.93179282469e-07
456,4.70059469987e-06
457,9.79665748259e-07
458,4.58567653294e-09
459,6.5746318926e-08
460,3.12371357324e-07
461,4.46652770728e-08
462,2.37081468381e-08
463,8.25581040306e-08
464,1.09921322194e-07
465,-6.6126272691e-09
466,5.51049595026e-08
467,1.50125258534e-07
468,3.98892580675e-07
469,8.98024345172e-07
470,3.97039944281e-09
471,-7.95357826869e-06
472,-1.82514587229e-05
473,-2.80892434913e-05
474,3.54514542838e-05
475,2.04847917206e-05
476,-3.12979284324e-07
477,3.53116486155e-07
478,6.0431596112e-07
479,2.13831211986e-06
480,8.60319776481e-07
481,3.5297738436e-07
482,3.3452340812e-07
483,-7.02368861249e-09
484,1.24305758794e-07
485,8.17352497204e-07
486,3.84557726075e-07
487,3.58791711302e-08
488,-2.57043313843e-07
489,3.4396919681e-08
490,1.16776809738e-06
491,1.2113095672e-05
492,8.98599102564e-07
493,8.41423277794e-08
494,5.02605151378e-09
495,5.83218312556e-07
496,1.49384194428e-06
497,-1.66334138962e-07
498,1.38181612537e-07
499,2.98088910097e-07
500,1.62105421894e-06
501,2.21284465655e-06
502,3.59547720657e-07
503,-7.71791311984e-08
504,-4.61867441888e-06
505,-1.12086980177e-05
506,-1.53372737886e-05
507,1.50577569262e-06
508,4.68609668158e-07
509,7.04463581206e-08
510,6.74399922358e-07
511,-2.25411217249e-05
512,6.41206243769e-07
513,-1.78245918025e-06
514,-7.06707913795e-07
515,3.74495119132e-06
516,-5.97231090572e-08
517,-8.15963766066e-07
518,-6.8426568073e-06
519,-8.06384374776e-07
520,-2.65526477656e-07
521,3.08388801755e-07
522,1.08699923866e-06
523,3.83832916871e-07
524,2.44447362677e-08
525,8.91663768875e-08
526,5.11742825034e-07
527,-3.15827692102e-08
528,1.69733312291e-07
529,-3.63793642032e-07
530,3.28871637865e-08
531,2.98261241943e-07
532,-1.11588278938e-06
533,-6.14077393086e-06
534,-9.87623376522e-06
535,-1.10879488147e-05
536,3.12739344012e-06
537,8.2762407077e-06
538,-5.87411456325e-05
539,-5.98068818294e-07
540,1.92880432785e-06
541,1.37131047176e-05
542,7.2665980227e-08
543,2.29605836963e-07
544,2.59468288215e-07
545,5.42579607748e-07
546,-2.05848623598e-07
547,6.36762692615e-06
548,2.37194812592e-07
549,1.60032809931e-07
550,5.65469427477e-07
551,1.1100643866e-06
552,4.60599738092e-06
553,-3.10382712851e-07
554,-2.99974468485e-07
555,4.14394210936e-07
